2021-03-26 11:49:54,130  INFO | restartedMain | n.sijbers.csia.reservationApp.ReservationAppApplication | Starting ReservationAppApplication on franks-MacBook-Pro.local with PID 46344 (/Users/frank/Dropbox/dev/tom/reservationappBackend/target/classes started by frank in /Users/frank/Dropbox/dev/tom/reservationappBackend) 
2021-03-26 11:49:54,145  INFO | restartedMain | n.sijbers.csia.reservationApp.ReservationAppApplication | The following profiles are active: dev 
2021-03-26 11:49:54,298  INFO | restartedMain | o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor      | Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable 
2021-03-26 11:49:54,298  INFO | restartedMain | o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor      | For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG' 
2021-03-26 11:49:55,843  INFO | restartedMain | o.s.d.repository.config.RepositoryConfigurationDelegate | Bootstrapping Spring Data JPA repositories in DEFERRED mode. 
2021-03-26 11:49:55,953  INFO | restartedMain | o.s.d.repository.config.RepositoryConfigurationDelegate | Finished Spring Data repository scanning in 80ms. Found 2 JPA repository interfaces. 
2021-03-26 11:49:56,559  INFO | restartedMain | o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker | Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@1835d572' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2021-03-26 11:49:56,569  INFO | restartedMain | o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker | Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2021-03-26 11:49:57,379  INFO | restartedMain | o.s.boot.web.embedded.tomcat.TomcatWebServer           | Tomcat initialized with port(s): 9090 (http) 
2021-03-26 11:49:57,406  INFO | restartedMain | org.apache.coyote.http11.Http11NioProtocol             | Initializing ProtocolHandler ["http-nio-9090"] 
2021-03-26 11:49:57,406  INFO | restartedMain | org.apache.catalina.core.StandardService               | Starting service [Tomcat] 
2021-03-26 11:49:57,407  INFO | restartedMain | org.apache.catalina.core.StandardEngine                | Starting Servlet engine: [Apache Tomcat/9.0.37] 
2021-03-26 11:49:57,607  INFO | restartedMain | o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]      | Initializing Spring embedded WebApplicationContext 
2021-03-26 11:49:57,607  INFO | restartedMain | o.s.b.w.s.context.ServletWebServerApplicationContext   | Root WebApplicationContext: initialization completed in 3307 ms 
